,Pancreatic Neuroendocrine Tumor,Cartilage Disease,Multiple Sclerosis,Parkinson Disease,Bronchopulmonary Dysplasia,Melanoma,COVID-19,Hypertension,Prostate Cancer,Colorectal Cancer,Bladder Cancer,Clear Cell Renal Cell Carcinoma,Neurodegenerative Disease,Breast Cancer,Idiopathic Nephrotic Syndrome,Alzheimer Disease,Alcoholic Chronic Pancreatitis,Hepatocellular Carcinoma,Dilated Cardiomyopathy,Laryngeal Squamous Cell Carcinoma,Hearing Loss,Systemic Lupus Erythematosus,Endocervical Adenocarcinoma,Multiple Myeloma,Myocardial Infarction,Spinal Cord Injury,Traumatic Brain,Papillary Thyroid Carcinoma,Irritable Bowel Syndrome,Non-Alcoholic Fatty Liver Disease,Lung Adenocarcinoma,IgA Nephropathy,Age-Related Macular Degeneration,Oxygen-Induced Retinopathy,Uv-Induced Skin Injury,Oral Submucous Fibrosis,Acute Pancreatitis,Amyotrophic Lateral Sclerosis,Hypopharynx Cancer,Chronic Lymphocytic Leukemia,Head And Neck Squamous Cell Carcinoma,Colon Cancer,Gastric Cancer,Stroke,Osteoporosis,Gastric Carcinoma,Atopic Dermatitis,Osteoarthritis,Fusarium Head Blight,Atherosclerosis,Pancreatic Ductal Adenocarcinoma,Respiratory Syncytial Virus Infection,Intracranial Aneurysm,Oral Squamous Cell Carcinoma,Lung Cancer,Ovarian Cancer,Deafness,Leber Hereditary Optic Neuropathy,Coronary Artery Disease,Acute Lung Injury
Pancreatic Neuroendocrine Tumor,1.0,0.07792207792207792,0.04838709677419355,0.04823151125401929,0.05806451612903226,0.14285714285714285,0.025974025974025976,0.05806451612903226,0.16129032258064516,0.15337423312883436,0.21739130434782608,0.13984962406015036,0.07792207792207792,0.3333333333333333,0.04333868378812199,0.04823151125401929,0.2903225806451613,0.25136612021857924,0.047619047619047616,0.13624678663239073,0.04823151125401929,0.06486486486486487,0.1249182472204055,0.15567282321899736,0.04823151125401929,0.07792207792207792,0.05806451612903226,0.25396825396825395,0.07792207792207792,0.043731778425655975,0.13089005235602094,0.04823151125401929,0.03772336201191264,0.05806451612903226,0.11842105263157894,0.07792207792207792,0.2903225806451613,0.04823151125401929,0.18518518518518517,0.14705882352941177,0.12806539509536785,0.13253012048192772,0.21739130434782608,0.06593406593406594,0.04333868378812199,0.16751269035532995,0.052941176470588235,0.04333868378812199,0.025974025974025976,0.04333868378812199,0.5722543352601156,0.039473684210526314,0.043859649122807015,0.15151515151515152,0.20833333333333334,0.21212121212121213,0.01607717041800643,0.04333868378812199,0.05806451612903226,0.07792207792207792
Cartilage Disease,0.07792207792207792,1.0,0.057692307692307696,0.05976095617529881,0.072,0.03225806451612903,0.03225806451612903,0.072,0.057692307692307696,0.05639097744360902,0.07792207792207792,0.04954128440366973,0.0967741935483871,0.12,0.0536779324055666,0.05976095617529881,0.072,0.0457516339869281,0.058823529411764705,0.04559270516717325,0.05976095617529881,0.3870967741935484,0.041117145073700546,0.07523510971786834,0.05976095617529881,0.0967741935483871,0.072,0.040880503144654086,0.0967741935483871,0.053003533568904596,0.043478260869565216,0.05976095617529881,0.044846577498033044,0.072,0.14754098360655737,0.0967741935483871,0.072,0.05976095617529881,0.06818181818181818,0.05172413793103448,0.016286644951140065,0.05741626794258373,0.07792207792207792,0.07894736842105263,0.268389662027833,0.05389221556886228,0.06428571428571428,0.268389662027833,0.03225806451612903,0.0536779324055666,0.045454545454545456,0.04918032786885246,0.05319148936170213,0.05357142857142857,0.07407407407407407,0.05357142857142857,0.0199203187250996,0.0536779324055666,0.072,0.0967741935483871
Multiple Sclerosis,0.04838709677419355,0.057692307692307696,1.0,0.14285714285714285,0.03821656050955414,0.019230769230769232,0.019230769230769232,0.03821656050955414,0.031914893617021274,0.02727272727272727,0.04838709677419355,0.022288261515601784,0.28846153846153844,0.08241758241758242,0.02377179080824089,0.14285714285714285,0.03821656050955414,0.021621621621621623,0.02821316614420063,0.022900763358778626,0.06666666666666667,0.12299465240641712,0.018770226537216828,0.04699738903394256,0.02857142857142857,0.28846153846153844,0.1910828025477707,0.01832460732984293,0.057692307692307696,0.025936599423631124,0.02072538860103627,0.02857142857142857,0.04387688277668631,0.08917197452229299,0.09740259740259741,0.057692307692307696,0.03821656050955414,0.14285714285714285,0.036585365853658534,0.043689320388349516,0.008086253369272238,0.031788079470198675,0.04838709677419355,0.1793478260869565,0.02377179080824089,0.03015075376884422,0.06395348837209303,0.02377179080824089,0.019230769230769232,0.02377179080824089,0.02,0.032467532467532464,0.10404624277456648,0.03,0.04639175257731959,0.03,0.009523809523809525,0.0554675118858954,0.03821656050955414,0.057692307692307696
Parkinson Disease,0.04823151125401929,0.05976095617529881,0.14285714285714285,1.0,0.03557312252964427,0.0199203187250996,0.0199203187250996,0.03557312252964427,0.02857142857142857,0.022304832713754646,0.04823151125401929,0.016333938294010888,0.6175298804780877,0.0891089108910891,0.01768172888015717,0.2440944881889764,0.03557312252964427,0.016181229773462782,0.023255813953488372,0.018072289156626505,0.05511811023622047,0.04792332268370607,0.013066871637202153,0.046583850931677016,0.023622047244094488,0.29880478087649404,0.17786561264822134,0.012461059190031152,0.05976095617529881,0.02097902097902098,0.015384615384615385,0.023622047244094488,0.030397505845674203,0.08300395256916997,0.10931174089068826,0.05976095617529881,0.03557312252964427,0.2440944881889764,0.033707865168539325,0.02564102564102564,0.0064516129032258064,0.02843601895734597,0.04823151125401929,0.16612377850162866,0.01768172888015717,0.026706231454005934,0.03180212014134275,0.01768172888015717,0.0199203187250996,0.01768172888015717,0.01384083044982699,0.03643724696356275,0.07368421052631578,0.02654867256637168,0.045871559633027525,0.02654867256637168,0.007874015748031496,0.0412573673870334,0.03557312252964427,0.05976095617529881
Bronchopulmonary Dysplasia,0.05806451612903226,0.072,0.03821656050955414,0.03557312252964427,1.0,0.024,0.024,0.047619047619047616,0.03821656050955414,0.033582089552238806,0.05806451612903226,0.0273224043715847,0.072,0.09933774834437085,0.029585798816568046,0.03557312252964427,0.047619047619047616,0.025974025974025976,0.03501945525291829,0.0634441087613293,0.03557312252964427,0.057692307692307696,0.02235929067077872,0.056074766355140186,0.03557312252964427,0.072,0.047619047619047616,0.021875,0.072,0.031578947368421054,0.2222222222222222,0.03557312252964427,0.02580140734949179,0.047619047619047616,0.12195121951219512,0.072,0.047619047619047616,0.03557312252964427,0.045112781954887216,0.03428571428571429,0.009708737864077669,0.03803486529318542,0.05806451612903226,0.058823529411764705,0.029585798816568046,0.03571428571428571,0.0425531914893617,0.029585798816568046,0.024,0.029585798816568046,0.024305555555555556,0.04065040650406504,0.03169014084507042,0.03550295857988166,0.4233128834355828,0.03550295857988166,0.011857707509881422,0.029585798816568046,0.047619047619047616,0.744
Melanoma,0.14285714285714285,0.03225806451612903,0.019230769230769232,0.0199203187250996,0.024,1.0,0.03225806451612903,0.024,0.11538461538461539,0.12030075187969924,0.14285714285714285,0.24770642201834864,0.03225806451612903,0.2,0.017892644135188866,0.0199203187250996,0.024,0.24509803921568626,0.0196078431372549,0.22796352583586627,0.0199203187250996,0.025806451612903226,0.23273855702094648,0.109717868338558,0.0199203187250996,0.03225806451612903,0.024,0.21226415094339623,0.03225806451612903,0.0176678445229682,0.2329192546583851,0.0199203187250996,0.01888276947285602,0.024,0.04918032786885246,0.03225806451612903,0.024,0.0199203187250996,0.13636363636363635,0.10344827586206896,0.24429967426710097,0.10047846889952153,0.14285714285714285,0.02631578947368421,0.017892644135188866,0.2694610778443114,0.02142857142857143,0.017892644135188866,0.03225806451612903,0.017892644135188866,0.23601398601398602,0.04918032786885246,0.01773049645390071,0.2261904761904762,0.13580246913580246,0.10714285714285714,0.0199203187250996,0.017892644135188866,0.024,0.03225806451612903
COVID-19,0.025974025974025976,0.03225806451612903,0.019230769230769232,0.0199203187250996,0.024,0.03225806451612903,1.0,0.024,0.019230769230769232,0.018796992481203006,0.025974025974025976,0.01651376146788991,0.03225806451612903,0.04,0.017892644135188866,0.0199203187250996,0.024,0.016339869281045753,0.0196078431372549,0.015197568389057751,0.0199203187250996,0.025806451612903226,0.015515903801396431,0.025078369905956112,0.0199203187250996,0.03225806451612903,0.024,0.014150943396226415,0.03225806451612903,0.0176678445229682,0.015527950310559006,0.0199203187250996,0.01888276947285602,0.024,0.04918032786885246,0.03225806451612903,0.024,0.0199203187250996,0.022727272727272728,0.017241379310344827,0.016286644951140065,0.019138755980861243,0.025974025974025976,0.02631578947368421,0.017892644135188866,0.017964071856287425,0.02142857142857143,0.017892644135188866,0.0967741935483871,0.017892644135188866,0.015734265734265736,0.3442622950819672,0.01773049645390071,0.017857142857142856,0.024691358024691357,0.017857142857142856,0.0199203187250996,0.017892644135188866,0.024,0.03225806451612903
Hypertension,0.05806451612903226,0.072,0.03821656050955414,0.03557312252964427,0.047619047619047616,0.024,0.024,1.0,0.03821656050955414,0.033582089552238806,0.05806451612903226,0.0273224043715847,0.072,0.09933774834437085,0.029585798816568046,0.03557312252964427,0.047619047619047616,0.025974025974025976,0.08171206225680934,0.027190332326283987,0.03557312252964427,0.057692307692307696,0.02235929067077872,0.056074766355140186,0.3675889328063241,0.072,0.047619047619047616,0.021875,0.072,0.031578947368421054,0.024691358024691357,0.03557312252964427,0.02580140734949179,0.047619047619047616,0.12195121951219512,0.072,0.047619047619047616,0.03557312252964427,0.045112781954887216,0.03428571428571429,0.009708737864077669,0.03803486529318542,0.05806451612903226,0.29411764705882354,0.029585798816568046,0.03571428571428571,0.0425531914893617,0.029585798816568046,0.024,0.3057199211045365,0.024305555555555556,0.04065040650406504,0.3274647887323944,0.03550295857988166,0.05521472392638037,0.03550295857988166,0.011857707509881422,0.029585798816568046,0.49206349206349204,0.072
Prostate Cancer,0.16129032258064516,0.057692307692307696,0.031914893617021274,0.02857142857142857,0.03821656050955414,0.11538461538461539,0.019230769230769232,0.03821656050955414,1.0,0.09090909090909091,0.16129032258064516,0.0787518573551263,0.057692307692307696,0.27472527472527475,0.02377179080824089,0.02857142857142857,0.03821656050955414,0.08648648648648649,0.02821316614420063,0.08396946564885496,0.02857142857142857,0.0481283422459893,0.1378640776699029,0.10182767624020887,0.02857142857142857,0.057692307692307696,0.03821656050955414,0.06544502617801047,0.057692307692307696,0.025936599423631124,0.07772020725388601,0.02857142857142857,0.021611001964636542,0.03821656050955414,0.09740259740259741,0.057692307692307696,0.03821656050955414,0.02857142857142857,0.12195121951219512,0.0970873786407767,0.08355795148247978,0.0781456953642384,0.16129032258064516,0.04891304347826087,0.02377179080824089,0.11557788944723618,0.03488372093023256,0.02377179080824089,0.019230769230769232,0.02377179080824089,0.07142857142857142,0.032467532467532464,0.02601156069364162,0.1,0.15463917525773196,0.22,0.009523809523809525,0.02377179080824089,0.03821656050955414,0.057692307692307696
Colorectal Cancer,0.15337423312883436,0.05639097744360902,0.02727272727272727,0.022304832713754646,0.033582089552238806,0.12030075187969924,0.018796992481203006,0.033582089552238806,0.09090909090909091,1.0,0.15337423312883436,0.05679862306368331,0.05639097744360902,0.2830188679245283,0.016697588126159554,0.022304832713754646,0.033582089552238806,0.12345679012345678,0.02197802197802198,0.06628242074927954,0.022304832713754646,0.04573170731707317,0.05216752387950037,0.08605341246290801,0.022304832713754646,0.05639097744360902,0.033582089552238806,0.044642857142857144,0.2819548872180451,0.046511627906976744,0.058823529411764705,0.022304832713754646,0.01563663440059568,0.033582089552238806,0.10305343511450382,0.13157894736842105,0.033582089552238806,0.022304832713754646,0.23404255319148937,0.08196721311475409,0.07076923076923076,0.7104072398190046,0.3374233128834356,0.046583850931677016,0.016697588126159554,0.20454545454545456,0.030201342281879196,0.016697588126159554,0.018796992481203006,0.016697588126159554,0.049342105263157895,0.03435114503816794,0.02,0.1864406779661017,0.14619883040935672,0.0847457627118644,0.007434944237918215,0.016697588126159554,0.033582089552238806,0.05639097744360902
Bladder Cancer,0.21739130434782608,0.07792207792207792,0.04838709677419355,0.04823151125401929,0.05806451612903226,0.14285714285714285,0.025974025974025976,0.05806451612903226,0.16129032258064516,0.15337423312883436,1.0,0.3022556390977444,0.07792207792207792,0.3333333333333333,0.10112359550561797,0.04823151125401929,0.05806451612903226,0.14207650273224043,0.047619047619047616,0.13624678663239073,0.04823151125401929,0.06486486486486487,0.1249182472204055,0.15567282321899736,0.04823151125401929,0.07792207792207792,0.05806451612903226,0.11904761904761904,0.07792207792207792,0.043731778425655975,0.13089005235602094,0.11254019292604502,0.03772336201191264,0.05806451612903226,0.11842105263157894,0.07792207792207792,0.05806451612903226,0.04823151125401929,0.18518518518518517,0.14705882352941177,0.12806539509536785,0.13253012048192772,0.21739130434782608,0.06593406593406594,0.04333868378812199,0.16751269035532995,0.052941176470588235,0.04333868378812199,0.025974025974025976,0.04333868378812199,0.13005780346820808,0.039473684210526314,0.043859649122807015,0.15151515151515152,0.20833333333333334,0.15151515151515152,0.01607717041800643,0.04333868378812199,0.05806451612903226,0.07792207792207792
Clear Cell Renal Cell Carcinoma,0.13984962406015036,0.04954128440366973,0.022288261515601784,0.016333938294010888,0.0273224043715847,0.24770642201834864,0.01651376146788991,0.0273224043715847,0.0787518573551263,0.05679862306368331,0.3022556390977444,1.0,0.04954128440366973,0.2665639445300462,0.05434782608695652,0.016333938294010888,0.0273224043715847,0.1649016641452345,0.016100178890876567,0.157001414427157,0.016333938294010888,0.04035874439461883,0.14491708723864455,0.07423580786026202,0.016333938294010888,0.04954128440366973,0.0273224043715847,0.10364963503649635,0.04954128440366973,0.014634146341463415,0.15151515151515152,0.08166969147005444,0.01095690284879474,0.0273224043715847,0.09497206703910614,0.04954128440366973,0.0273224043715847,0.016333938294010888,0.09185441941074524,0.07114093959731543,0.17043740573152338,0.047337278106508875,0.13984962406015036,0.0410958904109589,0.010869565217391304,0.2580195258019526,0.024630541871921183,0.010869565217391304,0.01651376146788991,0.010869565217391304,0.1143317230273752,0.03165735567970205,0.01468189233278956,0.17337031900138697,0.133428981348637,0.07350901525658807,0.0054446460980036296,0.010869565217391304,0.0273224043715847,0.04954128440366973
Neurodegenerative Disease,0.07792207792207792,0.0967741935483871,0.28846153846153844,0.6175298804780877,0.072,0.03225806451612903,0.03225806451612903,0.072,0.057692307692307696,0.05639097744360902,0.07792207792207792,0.04954128440366973,1.0,0.12,0.0536779324055666,0.6175298804780877,0.072,0.0457516339869281,0.058823529411764705,0.04559270516717325,0.1394422310756972,0.07741935483870968,0.041117145073700546,0.07523510971786834,0.05976095617529881,0.4838709677419355,0.36,0.040880503144654086,0.0967741935483871,0.053003533568904596,0.043478260869565216,0.05976095617529881,0.0967741935483871,0.168,0.14754098360655737,0.0967741935483871,0.072,0.6175298804780877,0.06818181818181818,0.05172413793103448,0.016286644951140065,0.05741626794258373,0.07792207792207792,0.3157894736842105,0.0536779324055666,0.05389221556886228,0.06428571428571428,0.0536779324055666,0.03225806451612903,0.0536779324055666,0.045454545454545456,0.04918032786885246,0.23404255319148937,0.05357142857142857,0.07407407407407407,0.05357142857142857,0.0199203187250996,0.12524850894632206,0.072,0.0967741935483871
Breast Cancer,0.3333333333333333,0.12,0.08241758241758242,0.0891089108910891,0.09933774834437085,0.2,0.04,0.09933774834437085,0.27472527472527475,0.2830188679245283,0.3333333333333333,0.2665639445300462,0.12,1.0,0.08401976935749589,0.0891089108910891,0.09933774834437085,0.2569832402234637,0.08794788273615635,0.2440944881889764,0.0891089108910891,0.09944751381215469,0.23446893787575152,0.2668463611859838,0.0891089108910891,0.12,0.09933774834437085,0.22972972972972974,0.12,0.08059701492537313,0.24064171122994651,0.0891089108910891,0.07099391480730223,0.09933774834437085,0.16216216216216217,0.12,0.09933774834437085,0.0891089108910891,0.31645569620253167,0.25,0.2200557103064067,0.2448700410396717,0.3333333333333333,0.10112359550561797,0.08401976935749589,0.27461139896373055,0.09036144578313253,0.08401976935749589,0.04,0.08401976935749589,0.2514792899408284,0.05405405405405406,0.08083832335329341,0.25773195876288657,0.3191489361702128,0.25773195876288657,0.0297029702970297,0.08401976935749589,0.09933774834437085,0.12
Idiopathic Nephrotic Syndrome,0.04333868378812199,0.0536779324055666,0.02377179080824089,0.01768172888015717,0.029585798816568046,0.017892644135188866,0.017892644135188866,0.029585798816568046,0.02377179080824089,0.016697588126159554,0.10112359550561797,0.05434782608695652,0.0536779324055666,0.08401976935749589,1.0,0.01768172888015717,0.029585798816568046,0.011308562197092083,0.017408123791102514,0.013533834586466165,0.01768172888015717,0.0430622009569378,0.00844205679201842,0.04186046511627907,0.01768172888015717,0.0536779324055666,0.029585798816568046,0.007776049766718507,0.0536779324055666,0.015706806282722512,0.010752688172043012,0.08840864440078586,0.011673151750972763,0.029585798816568046,0.10303030303030303,0.0536779324055666,0.029585798816568046,0.01768172888015717,0.028037383177570093,0.021337126600284494,0.004830917874396135,0.02365930599369085,0.04333868378812199,0.04390243902439024,0.011764705882352941,0.022222222222222223,0.026455026455026454,0.011764705882352941,0.017892644135188866,0.011764705882352941,0.008635578583765112,0.03434343434343434,0.01576182136602452,0.022091310751104567,0.04122137404580153,0.022091310751104567,0.005893909626719057,0.011764705882352941,0.029585798816568046,0.0536779324055666
Alzheimer Disease,0.04823151125401929,0.05976095617529881,0.14285714285714285,0.2440944881889764,0.03557312252964427,0.0199203187250996,0.0199203187250996,0.03557312252964427,0.02857142857142857,0.022304832713754646,0.04823151125401929,0.016333938294010888,0.6175298804780877,0.0891089108910891,0.01768172888015717,1.0,0.03557312252964427,0.016181229773462782,0.023255813953488372,0.018072289156626505,0.05511811023622047,0.04792332268370607,0.013066871637202153,0.046583850931677016,0.023622047244094488,0.29880478087649404,0.17786561264822134,0.012461059190031152,0.05976095617529881,0.02097902097902098,0.015384615384615385,0.023622047244094488,0.030397505845674203,0.08300395256916997,0.10931174089068826,0.05976095617529881,0.03557312252964427,0.2440944881889764,0.033707865168539325,0.02564102564102564,0.0064516129032258064,0.02843601895734597,0.04823151125401929,0.16612377850162866,0.01768172888015717,0.026706231454005934,0.03180212014134275,0.01768172888015717,0.0199203187250996,0.01768172888015717,0.01384083044982699,0.03643724696356275,0.07368421052631578,0.02654867256637168,0.045871559633027525,0.02654867256637168,0.007874015748031496,0.0412573673870334,0.03557312252964427,0.05976095617529881
Alcoholic Chronic Pancreatitis,0.2903225806451613,0.072,0.03821656050955414,0.03557312252964427,0.047619047619047616,0.024,0.024,0.047619047619047616,0.03821656050955414,0.033582089552238806,0.05806451612903226,0.0273224043715847,0.072,0.09933774834437085,0.029585798816568046,0.03557312252964427,1.0,0.025974025974025976,0.03501945525291829,0.027190332326283987,0.03557312252964427,0.057692307692307696,0.02235929067077872,0.056074766355140186,0.03557312252964427,0.072,0.047619047619047616,0.05,0.072,0.031578947368421054,0.024691358024691357,0.03557312252964427,0.02580140734949179,0.047619047619047616,0.12195121951219512,0.072,0.49206349206349204,0.03557312252964427,0.045112781954887216,0.03428571428571429,0.009708737864077669,0.03803486529318542,0.05806451612903226,0.058823529411764705,0.029585798816568046,0.03571428571428571,0.0425531914893617,0.029585798816568046,0.024,0.029585798816568046,0.11805555555555555,0.04065040650406504,0.03169014084507042,0.03550295857988166,0.05521472392638037,0.08284023668639054,0.011857707509881422,0.029585798816568046,0.047619047619047616,0.072
Hepatocellular Carcinoma,0.25136612021857924,0.0457516339869281,0.021621621621621623,0.016181229773462782,0.025974025974025976,0.24509803921568626,0.016339869281045753,0.025974025974025976,0.08648648648648649,0.12345679012345678,0.14207650273224043,0.1649016641452345,0.0457516339869281,0.2569832402234637,0.011308562197092083,0.016181229773462782,0.025974025974025976,1.0,0.01597444089456869,0.18863049095607234,0.016181229773462782,0.03804347826086957,0.17817225509533202,0.08222811671087533,0.016181229773462782,0.0457516339869281,0.025974025974025976,0.1675531914893617,0.10457516339869281,0.1378299120234604,0.18421052631578946,0.016181229773462782,0.011310711909514305,0.025974025974025976,0.08609271523178808,0.10457516339869281,0.025974025974025976,0.016181229773462782,0.19254658385093168,0.07881773399014778,0.20273972602739726,0.1063257065948856,0.2896174863387978,0.03867403314917127,0.011308562197092083,0.35714285714285715,0.023668639053254437,0.011308562197092083,0.016339869281045753,0.011308562197092083,0.18313953488372092,0.029801324503311258,0.014705882352941176,0.27918781725888325,0.13612565445026178,0.08121827411167512,0.006472491909385114,0.011308562197092083,0.025974025974025976,0.0457516339869281
Dilated Cardiomyopathy,0.047619047619047616,0.058823529411764705,0.02821316614420063,0.023255813953488372,0.03501945525291829,0.0196078431372549,0.0196078431372549,0.08171206225680934,0.02821316614420063,0.02197802197802198,0.047619047619047616,0.016100178890876567,0.058823529411764705,0.08794788273615635,0.017408123791102514,0.023255813953488372,0.03501945525291829,0.01597444089456869,1.0,0.017857142857142856,0.023255813953488372,0.0473186119873817,0.012908124525436599,0.046012269938650305,0.05426356589147287,0.058823529411764705,0.03501945525291829,0.012307692307692308,0.058823529411764705,0.020689655172413793,0.015197568389057751,0.023255813953488372,0.016166281755196306,0.03501945525291829,0.10756972111553785,0.058823529411764705,0.03501945525291829,0.023255813953488372,0.033210332103321034,0.02535211267605634,0.006369426751592357,0.028081123244929798,0.047619047619047616,0.11254019292604502,0.017408123791102514,0.026392961876832845,0.0313588850174216,0.017408123791102514,0.0196078431372549,0.04061895551257253,0.013651877133105802,0.035856573705179286,0.04844290657439446,0.026239067055393587,0.045317220543806644,0.026239067055393587,0.007751937984496124,0.017408123791102514,0.08171206225680934,0.058823529411764705
